Date,Start,End,Event,Category,Price,Link,Registration Link,
"Mon, 29 September",12:00 AM,2:30 AM,Networking Mixer by X10 Agency & Insight Genesis,Party/Dinner,Free,https://luma.com/w9jwyznz,,
"Mon, 29 September",12:00 AM,12:00 AM,Ethereum Singapore Week - Day 1,Conference/Summit,Free,https://www.ethereum.sg/,,
"Mon, 29 September",7:00 AM,5:00 PM,CoinFerenceX - Day 1,Conference/Summit,Free,https://coinferencex.com,,
"Mon, 29 September",7:30 AM,8:30 AM,ONE OF US Run & Coffee - 29/09,Sport,Free,https://lu.ma/lq1np4lv,,
"Mon, 29 September",8:00 AM,12:00 PM,Oversubscribed Capital Institutional Breakfast 1,Networking,Free,https://lu.ma/ch5u0joo,,
"Mon, 29 September",9:00 AM,11:00 AM,ONE OF US Lift & Coffee - 29/09,Sport,Free,https://lu.ma/h3h9xa89,,
"Mon, 29 September",9:00 AM,6:00 PM,All That Matters 2025 - Day 1,Conference/Summit,US$599-1299,www.allthatmatters.asia,,
"Mon, 29 September",9:00 AM,11:00 AM,Blockverse Series: Connect the Blocks,Conference/Summit,US$0-49,https://luma.com/mrcsc3fp,,
"Mon, 29 September",9:00 AM,11:00 AM,EmpowHER in AI: Women in AI,Conference/Summit,US$0-49,https://luma.com/hh3owgnq,,
"Mon, 29 September",9:00 AM,11:00 AM,The Algorithm Alliance: AI Builders' Meetup,Conference/Summit,US$0-49,https://luma.com/qqt6p4f6,,
"Mon, 29 September",9:00 AM,8:00 PM,[ZONE3 LAUNCHPAD] Special Economic Zone Ideathon,Other,Free,https://luma.com/4ley7w4o,,
"Mon, 29 September",10:00 AM,5:00 PM,Signal: Institutional Strategies Amid the Noise,Conference/Summit,US$85-145,https://lu.ma/signal,,
"Mon, 29 September",10:00 AM,4:00 PM,Ordinal Genesis: Gaming & Rewards On Bitcoin - Day 1,Conference/Summit,Free,https://luma.com/cer5lmnu,,
"Mon, 29 September",10:00 AM,6:00 PM,StableCoin x Enterprise | DeFire #5,Conference/Summit,Free,https://luma.com/36wzsn8i,,
"Mon, 29 September",10:00 AM,1:30 PM,Moca Network Demo Day,Conference/Summit,Free,https://luma.com/3j38tcd7,,
"Mon, 29 September",11:00 AM,2:00 PM,VC Connect - Singapore,Networking,Free,https://lu.ma/VCConnect-Singapore,,
"Mon, 29 September",11:00 AM,5:00 PM,Verifying Intelligence: Where ZK Meets AI,Conference/Summit,Free,https://lu.ma/ae6uqqvw,,
"Mon, 29 September",11:00 AM,5:00 PM,Sonic Summit 2025: Singapore,Conference/Summit,Free,https://lu.ma/zx7x3m92,,
"Mon, 29 September",11:00 AM,5:00 PM,Whitepaper Reading Sessions,Other,Free,https://luma.com/s8cfjr2k,,
"Mon, 29 September",11:00 AM,1:00 PM,AI Capital Connect x VC Vault X The Capital Circle,Conference/Summit,US$0-49,https://luma.com/p9905tv6,,
"Mon, 29 September",11:00 AM,1:00 PM,Web3 Growth Guild Forum: SG Edition,Conference/Summit,US$0-49,https://luma.com/djqq7qqe,,
"Mon, 29 September",11:00 AM,1:00 PM,CliniConnect: AI X Healthcare SG Edition,Conference/Summit,US$0-49,https://luma.com/ezgvryo0,,
"Mon, 29 September",11:30 AM,1:30 PM,founder x vc //brunch [invite only],Networking,Free,https://luma.com/6pnwrkp8,,
